Date,FLDATA.Death,FLDATA.DeathIncrease
2020-6-18,3154,44
2020-6-19,3197,43
2020-6-20,3237,40
2020-6-21,3254,17
2020-6-22,3266,12
2020-6-23,3333,67
2020-6-24,3377,44
2020-6-25,3423,46
2020-6-26,3464,41
2020-6-27,3489,25
2020-6-28,3518,29
2020-6-29,3546,28
2020-6-30,3604,58
2020-7-1,3650,46
2020-7-2,3718,68
2020-7-3,3785,67
2020-7-4,3803,18
2020-7-5,3832,29
2020-7-6,3880,48
2020-7-7,3943,63
2020-7-8,3991,48
2020-7-9,4111,120
2020-7-10,4203,92
2020-7-11,4301,98
2020-7-12,4346,45
2020-7-13,4381,35
2020-7-14,4514,133
2020-7-15,4626,112
2020-7-16,4782,156
2020-7-17,4912,130
2020-7-18,5002,90
2020-7-19,5091,89
2020-7-20,5183,92
2020-7-21,5319,136
2020-7-22,5459,140
2020-7-23,5632,173
2020-7-24,5768,136
2020-7-25,5894,126
2020-7-26,5972,78
2020-7-27,6049,77
2020-7-28,6240,191
2020-7-29,6457,217
2020-7-30,6709,252
2020-7-31,6966,257
2020-8-1,7144,178
2020-8-2,7206,62
2020-8-3,7279,73
2020-8-4,7526,247
2020-8-5,7751,225
2020-8-6,7871,120
2020-8-7,8051,180
2020-8-8,8238,187
2020-8-9,8315,77
2020-8-10,8408,93
2020-8-11,8685,277
2020-8-12,8898,213
2020-8-13,9047,149
2020-8-14,9276,229
2020-8-15,9480,204
2020-8-16,9587,107
2020-8-17,9674,87
2020-8-18,9893,219
2020-8-19,10067,174
2020-8-20,10186,119
2020-8-21,10304,118
2020-8-22,10411,107
2020-8-23,10462,51
2020-8-24,10534,72
2020-8-25,10717,183
2020-8-26,10872,155
2020-8-27,11011,139
2020-8-28,11099,88
2020-8-29,11249,150
2020-8-30,11263,14
2020-8-31,11331,68
2020-9-1,11521,190
2020-9-2,11651,130
2020-9-3,11800,149
2020-9-4,11903,103
2020-9-5,11963,60
2020-9-6,12001,38
2020-9-7,12023,22
2020-9-8,12067,44
2020-9-9,12269,202
2020-9-10,12482,213
2020-9-11,12658,176
2020-9-12,12756,98
2020-9-13,12764,8
2020-9-14,12800,36
2020-9-15,12946,146
2020-9-16,13100,154
2020-9-17,13247,147
2020-9-18,13387,140
2020-9-19,13450,63
2020-9-20,13459,9
2020-9-21,13480,21
2020-9-22,13579,99
2020-9-23,13782,203
2020-9-24,13961,179
2020-9-25,14083,122
2020-9-26,14190,107
2020-9-27,14202,12
2020-9-28,14207,5
2020-9-29,14313,106
2020-9-30,14488,175
2020-10-1,14619,131
2020-10-2,14730,111
2020-10-3,14803,73
2020-10-4,14845,42
2020-10-5,14886,41
2020-10-6,14945,59
2020-10-7,15084,139
2020-10-8,15254,170
2020-10-9,15372,118
2020-10-10,15372,0
2020-10-11,15552,180
2020-10-12,15599,47
2020-10-13,15722,123
2020-10-14,15788,66
2020-10-15,15932,144
2020-10-16,16030,98
2020-10-17,16118,88
2020-10-18,16168,50
2020-10-19,16222,54
2020-10-20,16308,86
2020-10-21,16308,0
2020-10-22,16470,162
2020-10-23,16544,74
2020-10-24,16620,76
2020-10-25,16632,12
2020-10-26,16652,20
2020-10-27,16709,57
2020-10-28,16775,66
2020-10-29,16854,79
2020-10-30,16927,73
2020-10-31,16969,42
2020-11-1,16997,28
2020-11-2,17043,46
2020-11-3,17099,56
2020-11-4,17131,32
2020-11-5,17170,39
2020-11-6,17224,54
2020-11-7,17311,87
2020-11-8,17333,22
2020-11-9,17391,58
2020-11-10,17460,69
2020-11-11,17512,52
2020-11-12,17585,73
2020-11-13,17659,74
2020-11-14,17704,45
2020-11-15,17734,30
2020-11-16,17775,41
2020-11-17,17861,86
2020-11-18,17949,88
2020-11-19,18030,81
2020-11-20,18110,80
2020-11-21,18152,42
2020-11-22,18214,62
2020-11-23,18310,96
2020-11-24,18383,73
2020-11-25,18482,99
2020-11-26,18482,0
2020-11-27,18596,114
2020-11-28,18677,81
2020-11-29,18736,59
2020-11-30,18834,98
2020-12-1,18916,82
2020-12-2,19012,96
2020-12-3,19112,100
2020-12-4,19236,124
2020-12-5,19327,91
2020-12-6,19423,96
2020-12-7,19529,106
2020-12-8,19627,98
2020-12-9,19716,89
2020-12-10,19851,135
2020-12-11,19977,126
2020-12-12,20049,72
2020-12-13,20133,84
2020-12-14,20271,138
2020-12-15,20365,94
2020-12-16,20490,125
2020-12-17,20594,104
2020-12-18,20690,96
2020-12-19,20764,74
2020-12-20,20861,97
2020-12-21,20976,115
2020-12-22,21052,76
2020-12-23,21173,121
2020-12-24,21295,122
2020-12-25,21295,0
2020-12-26,21437,142
2020-12-27,21514,77
2020-12-28,21613,99
2020-12-29,21718,105
2020-12-30,21857,139
2020-12-31,21990,133
2021-1-1,21990,0
2021-1-2,22210,220
2021-1-3,22310,100
2021-1-4,22415,105
2021-1-5,22515,100
2021-1-6,22647,132
2021-1-7,22817,170
2021-1-8,23011,194
2021-1-9,23150,139
2021-1-10,23261,111
2021-1-11,23424,163
2021-1-12,23585,161
2021-1-13,23759,174
2021-1-14,23981,222
2021-1-15,24169,188
2021-1-16,24380,211
2021-1-17,24515,135
2021-1-18,24657,142
2021-1-19,24820,163
2021-1-20,24965,145
2021-1-21,25128,163
2021-1-22,25405,277
2021-1-23,25561,156
2021-1-24,25693,132
2021-1-25,25849,156
2021-1-26,26080,231
2021-1-27,26249,169
2021-1-28,26456,207
2021-1-29,26685,229
2021-1-30,26795,110
2021-1-31,26915,120
2021-2-1,27129,214
2021-2-2,27269,140
2021-2-3,27472,203
2021-2-4,27698,226
2021-2-5,27913,215
2021-2-6,28058,145
2021-2-7,28161,103
2021-2-8,28287,126
2021-2-9,28526,239
2021-2-10,28691,165
2021-2-11,28871,180
2021-2-12,29061,190
2021-2-13,29179,118
2021-2-14,29275,96
2021-2-15,29434,159
2021-2-16,29659,225
2021-2-17,29824,165
2021-2-18,29990,166
2021-2-19,30214,224
2021-2-20,30339,125
2021-2-21,30434,95
2021-2-22,30595,161
2021-2-23,30749,154
2021-2-24,30878,129
2021-2-25,31018,140
2021-2-26,31162,144
2021-2-27,31280,118
2021-2-28,31406,126
2021-3-1,31556,150
2021-3-2,31696,140
2021-3-3,31829,133
2021-3-4,31955,126
2021-3-5,32093,138
2021-3-6,32200,107
2021-3-7,32266,66
